title,colorName,colorCode,size,stock,price,image
New Shirt1,Black,#FFFFFF,M,45,24.99,/black.png
New Shirt1,Black,#FFFFFF,M,45,24.99,/black.png
New Shirt1,Black,#FFFFFF,M,45,24.99,/black.png
New Shirt2,Black,#FFFFFF,M,45,24.99,/black.png
New Shirt2,White,#000000,M,45,24.99,/black.png
New Shirt3,Black,#FFFFFF,L,45,24.99,/black.png
New Shirt3,Black,#FFFFFF,L,45,24.99,/black.png
New Shirt4,,#FFFFFF,L,45,24.99,/black.png
New Shirt5,Black,#FFFFFF,,45,24.99,/black.png
New Shirt6,Black,#FFFFFF,L,45,24.99,/black.png
New Shirt6,Black,#FFFFFF,L,45,24.99,/black.png
